Model,MAE,RMSE,MAPE(%),sMAPE(%)
Random Forest Features,0.0002546505503131433,0.0005358692089298064,0.06346925300840925,0.0634296228861639
Ridge Features,0.0012886256688393472,0.0019306275501326585,0.34457094794410004,0.34502405415524573
SARIMAX,0.01642557171292562,0.02002284351012624,4.358278967884113,4.491764663531406
N-BEATS v2 (covariate-conditioned),0.01759530279644894,0.02385281016751835,4.962313021131766,4.913907151391073
LSTM v2 (dual-stream),0.023681437355460626,0.030334284972844076,6.716801020239586,6.792484970077346
Naive,0.06370607962717666,0.08200289182592102,16.478045639702295,18.739914565999204
SARIMA,0.07718379801113083,0.09287379448041107,20.42443412229463,23.614061978932067
Seasonal Naive (7d),0.08158288521902551,0.0984878030030713,21.4493343851764,25.019000303236155
Rolling Mean (7d),0.08175351278129286,0.0985368080763888,21.50649869893109,25.078651563046378
Hybrid v2 SeasonalNaive(7d)+ResidualLSTM,0.09761741616242761,0.1151319693989374,25.90939339911431,31.047488452537152
